geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
20.21,108123002021,367700,70199,82813,33971
9783,108043978300,159400,9684,43210,4655
9788,108043978800,135900,11883,35403,5972
9801,108043980100,,,,
865,108005086500,335500,62722,74250,19729
20.19,108123002019,249000,14801,90405,10039
103.06,108059010306,234800,11556,71071,15955
101.06,108119010106,203200,20415,53512,13074
843,108005084300,209500,7982,73913,8051
848,108005084800,227700,10139,79256,18153
9742,108007974200,224700,41949,46935,10384
9517.02,108045951702,299500,37721,39250,6222
110,108059011000,296700,38384,51811,10855
9518.04,108045951804,556300,100342,62617,8388
19.06,108123001906,227000,29967,55417,9541
20.09,108123002009,457100,144704,98942,19520
98.40,108059009840,254800,16589,74712,6763
98.43,108059009843,425500,33822,100038,14052
98.51,108059009851,343500,17362,99500,7177
102.05,108059010205,343200,11001,83594,10638
102.11,108059010211,273600,14228,50708,16934
40.02,108031004002,533000,33333,99716,16496
9606,108055960600,77700,10181,24429,3725
9241,108121924100,127000,17183,43864,5078
10.04,108123001004,100200,10155,33077,5497
14.07,108123001407,277100,18702,97177,18122
14.10,108123001410,224000,17567,65387,9008
14.17,108123001417,165800,10213,46786,9334
9744,108007974400,348200,51933,48259,8397
9667,108011966700,65700,8402,36791,5397
123,108013012300,,,32604,9072
125.05,108013012505,712100,36011,96875,17922
126.05,108013012605,315000,63784,33393,5163
98.23,108059009823,234700,5756,87867,4088
98.35,108059009835,277800,9381,96250,13977
98.38,108059009838,422600,13708,121469,10013
132.05,108013013205,570300,53996,108692,13569
132.12,108013013212,287200,12624,81889,14230
134.02,108013013402,244800,29597,73506,6344
21.03,108123002103,344400,19444,90244,10179
117.10,108059011710,262200,12183,56780,3675
117.12,108059011712,271600,8353,81006,12506
117.30,108059011730,144000,12041,48180,10079
117.33,108059011733,264600,21244,52125,13859
40.03,108031004003,259500,14084,72228,11978
41.02,108031004102,196400,12921,36225,6404
135.07,108013013507,213000,15299,75132,8803
25.01,108123002501,239800,23708,60925,7771
127.07,108013012707,511900,88000,75750,26826
129.07,108013012907,267300,10436,78811,9371
608,108013060800,162200,22777,45106,4332
614,108013061400,441100,37077,137560,38142
304,108014030400,362400,14497,108393,15881
308,108014030800,262600,12825,85769,9928
120.26,108059012026,390600,38097,69233,13025
120.30,108059012030,368600,15644,76680,8640
120.57,108059012057,247200,31425,87346,12287
16,108031001600,282500,31371,68839,11276
120.33,108059012033,382600,21215,102440,15469
120.38,108059012038,234500,9830,77824,9217
148,108019014800,176300,18189,45694,14410
9631,108125963100,141400,17777,45382,6450
309,108014030900,359800,23929,98125,11763
312,108014031200,242700,12431,67903,9700
313,108014031300,551800,37260,147740,15430
314,108014031400,459700,14043,97393,16088
