"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b19013001","mhi","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","rev","s5metric"
38005,204.4,"Fleming town, Colorado","8","",26875,"","","10826875","41875",41875,"C1","0445","0295","Fleming",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412631,"Fleming, Town of",89108,0.0104107252387768
38007,128.2,"Iliff town, Colorado","8","",38590,"","","10838590","36250",36250,"C1","0670","0386","Iliff",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412788,"Iliff, Town of",66432.26,0.0142949615363925
38011,120.8,"Merino town, Colorado","8","",50040,"","","10850040","39773",39773,"C1","0880","0466","Merino",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412985,"Merino, Town of",78785.14,0.0163979299411578
38016,106,"Peetz town, Colorado","8","",58235,"","","10858235","34750",34750,"C1","1040","0523","Peetz",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413123,"Peetz, Town of",61223.6,0.016621039771956
38019,5408.8,"Sterling city, Colorado","8","",73935,"","","10873935","35732",35732,"C1","1255","0612","Sterling",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411978,"Sterling, City of",5363347.84,0.027750941109308
39011,223.2,"Collbran town, Colorado","8","",15605,"","","10815605","32361",32361,"C1","0235","0206","Collbran",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413226,"Collbran, Town of",172065.6,0.0238219840489
39012,224.2,"De Beque town, Colorado","8","",19355,"","","10819355","44000",44000,"C1","0300","0235","De Beque",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412412,"De Beque, Town of",297217.12,0.030129056848593
39034,1292.2,"Palisade town, Colorado","8","",56970,"","","10856970","43167",43167,"C1","1020","0512","Palisade",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413101,"Palisade, Town of",1163794.22,0.0208638567354488
40001,272,"City of Creede town, Colorado","8","",14765,"","","10814765","32188",32188,"C1","0265","0225","Creede",2011-11-22 10:17:12,"OIS",2012-12-11 17:26:31,"OIS",2412384,"Creede, City of",288896.02,0.0329973195162245
41004,4088.2,"Craig city, Colorado","8","",17760,"","","10817760","49590",49590,"C1","0255","0223","Craig",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410255,"Craig, City of",3583769.24,0.0176772130166055
41005,175,"Dinosaur town, Colorado","8","",20495,"","","10820495","42083",42083,"C1","0332","0246","Dinosaur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412432,"Dinosaur, Town of",91232.8,0.0123881445171277
42008,501.6,"Dolores town, Colorado","8","",20770,"","","10820770","34813",34813,"C1","0335","0248","Dolores",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412439,"Dolores, Town of",346150.98,0.0198228724984081
42016,615.8,"Mancos town, Colorado","8","",48115,"","","10848115","36729",36729,"C1","0845","0452","Mancos",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412939,"Mancos, Town of",539991.98,0.023874732863194
43004,8715.2,"Montrose city, Colorado","8","",51745,"","","10851745","41717",41717,"C1","0910","0480","Montrose",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411151,"Montrose, City of",6207604.24,0.0170739338214117
43005,316,"Naturita town, Colorado","8","",53120,"","","10853120","32813",32813,"C1","0930","0488","Naturita",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413035,"Naturita, Town of",289872.62,0.0279559448304489
43007,369.4,"Nucla town, Colorado","8","",54935,"","","10854935","30000",30000,"C1","0955","0497","Nucla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413058,"Nucla, Town of",388261.84,0.0350353582385851
43012,634,"Olathe town, Colorado","8","",55540,"","","10855540","36569",36569,"C1","0970","0501","Olathe",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413078,"Olathe, Town of",518949.6,0.0223832342178776
44001,2295,"Brush city, Colorado","8","",9555,"","","10809555","44457",44457,"C1","0150","0164","Brush",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409926,"Brush, City of",2124761.24,0.0208251094555984
44006,4281.2,"Fort Morgan city, Colorado","8","",27810,"","","10827810","45403",45403,"C1","0470","0312","Fort Morgan",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410529,"Fort Morgan, City of",7873527.4,0.0405059923770617
