"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
32010,328,"Flagler town, Colorado","8","",26765,"","","10826765","102600",102600,"C1","0440","0294","Flagler",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412628,"Flagler, Town of",940977,0.0279613286264442
32015,122.8,"Seibert town, Colorado","8","",69040,"","","10869040","96000",96000,"C1","1190","0588","Seibert",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413270,"Seibert, Town of",855173,0.0725411407437568
32020,346,"Stratton town, Colorado","8","",74485,"","","10874485","100000",1e+05,"C1","1260","0619","Stratton",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413341,"Stratton, Town of",6892771,0.199213034682081
32023,61,"Vona town, Colorado","8","",81690,"","","10881690","95000",95000,"C1","1320","0653","Vona",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413437,"Vona, Town of",486270,0.0839119930974978
34005,1004.8,"Bayfield town, Colorado","8","",5265,"","","10805265","249600",249600,"C1","0065","0134","Bayfield",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411667,"Bayfield, Town of",22425236,0.0894155011075045
34008,7961.2,"Durango city, Colorado","8","",22035,"","","10822035","363700",363700,"C1","0350","0256","Durango",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410374,"Durango, City of",7788004,0.00268970301950161
34015,309.8,"Ignacio town, Colorado","8","",38535,"","","10838535","163800",163800,"C1","0665","0385","Ignacio",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412787,"Ignacio, Town of",3201927,0.0630980757998189
35009,62259.6,"Fort Collins city, Colorado","8","",27425,"","","10827425","265900",265900,"C1","0455","0307","Fort Collins",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410526,"Fort Collins, City of",255096098,0.0154091666520063
35026,29454.6,"Loveland city, Colorado","8","",46465,"","","10846465","224900",224900,"C1","0830","0443","Loveland",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410886,"Loveland, City of",2e+05,3.01916891174331e-05
35047,2355,"Wellington town, Colorado","8","",83230,"","","10883230","212600",212600,"C1","1345","0664","Wellington",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413464,"Wellington, Town of",22969142,0.045876534184987
36001,290,"Aguilar town, Colorado","8","",760,"","","10800760","108800",108800,"C1","0005","0104","Aguilar",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412339,"Aguilar, Town of",5676024,0.179894269776876
