"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
37002,129,"Arriba town, Colorado","8","",3235,"","","10803235","60000",60000,"C1","0035","0117","Arriba",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411647,"Arriba, Town of",478541.4,0.0618270542635659
37004,84,"Genoa town, Colorado","8","",29680,"","","10829680","49000",49000,"C1","0515","0320","Genoa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412675,"Genoa, Town of",333335.4,0.08098527696793
37006,409.4,"Hugo town, Colorado","8","",37875,"","","10837875","78000",78000,"C1","0655","0380","Hugo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412778,"Hugo, Town of",0,0
38002,76,"Crook town, Colorado","8","",18640,"","","10818640","56900",56900,"C1","0285","0230","Crook",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412389,"Crook, Town of",4506.4,0.00104208676348164
38005,204.4,"Fleming town, Colorado","8","",26875,"","","10826875","84100",84100,"C1","0445","0295","Fleming",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412631,"Fleming, Town of",0,0
38007,128.2,"Iliff town, Colorado","8","",38590,"","","10838590","80000",80000,"C1","0670","0386","Iliff",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412788,"Iliff, Town of",9402.4,0.000916770670826833
38011,120.8,"Merino town, Colorado","8","",50040,"","","10850040","111400",111400,"C1","0880","0466","Merino",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412985,"Merino, Town of",43251.8,0.0032140457988039
38016,106,"Peetz town, Colorado","8","",58235,"","","10858235","86300",86300,"C1","1040","0523","Peetz",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413123,"Peetz, Town of",0,0
38019,5408.8,"Sterling city, Colorado","8","",73935,"","","10873935","98500",98500,"C1","1255","0612","Sterling",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411978,"Sterling, City of",23927753.4,0.0449122456579502
39011,223.2,"Collbran town, Colorado","8","",15605,"","","10815605","144000",144000,"C1","0235","0206","Collbran",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413226,"Collbran, Town of",0,0
39012,224.2,"De Beque town, Colorado","8","",19355,"","","10819355","137500",137500,"C1","0300","0235","De Beque",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412412,"De Beque, Town of",274274,0.00889705619982159
39014,5204,"Fruita city, Colorado","8","",28745,"","","10828745","200100",200100,"C1","0505","0305","Fruita",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410553,"Fruita, City of",20907245.6,0.0200776299014213
39020,26862.2,"Grand Junction city, Colorado","8","",31660,"","","10831660","205800",205800,"C1","0555","0338","Grand Junction",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410631,"Grand Junction, City of",5563033.8,0.00100629369115972
39034,1292.2,"Palisade town, Colorado","8","",56970,"","","10856970","165700",165700,"C1","1020","0512","Palisade",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413101,"Palisade, Town of",5926370,0.0276781154874094
41004,4088.2,"Craig city, Colorado","8","",17760,"","","10817760","172500",172500,"C1","0255","0223","Craig",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410255,"Craig, City of",4852760.2,0.00688125414324294
41005,175,"Dinosaur town, Colorado","8","",20495,"","","10820495","74300",74300,"C1","0332","0246","Dinosaur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412432,"Dinosaur, Town of",74014.8,0.00569235147087099
42004,3904,"Cortez city, Colorado","8","",17375,"","","10817375","152400",152400,"C1","0250","0219","Cortez",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410236,"Cortez, City of",4421136,0.00743086033303214
42008,501.6,"Dolores town, Colorado","8","",20770,"","","10820770","166700",166700,"C1","0335","0248","Dolores",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412439,"Dolores, Town of",133898.6,0.0016013376272114
42016,615.8,"Mancos town, Colorado","8","",48115,"","","10848115","186100",186100,"C1","0845","0452","Mancos",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412939,"Mancos, Town of",931909.8,0.00813182120338519
43004,8715.2,"Montrose city, Colorado","8","",51745,"","","10851745","177600",177600,"C1","0910","0480","Montrose",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411151,"Montrose, City of",4272514.8,0.0027603443068091
43007,369.4,"Nucla town, Colorado","8","",54935,"","","10854935","115500",115500,"C1","0955","0497","Nucla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413058,"Nucla, Town of",124350,0.00291451915707465
43012,634,"Olathe town, Colorado","8","",55540,"","","10855540","96600",96600,"C1","0970","0501","Olathe",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413078,"Olathe, Town of",1436930.6,0.0234622365473415
44001,2295,"Brush city, Colorado","8","",9555,"","","10809555","139100",139100,"C1","0150","0164","Brush",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2409926,"Brush, City of",9056967.6,0.0283708922437894
