"LG_ID","NAME","CM_FUND_TYPE_ID","GO_DEBT","REVENUE_DEBT","OTHER_DEBT","debt","housingunits","mhv","s4metric"
34015,"Ignacio",2,0,0,306703.4,306703.4,309.8,163800,0.00604398363275058
34015,"Ignacio",3,0,260916.8,72765.2,333682,309.8,163800,0.00657563152721319
35004,"Estes Park",2,0,0,4867203.4,4867203.4,4164.4,320700,0.00364441728704531
35009,"Fort Collins",2,0,17792307.2,0,17792307.2,62259.6,265900,0.00107475037414524
35009,"Fort Collins",3,0,33226912.4,0,33226912.4,62259.6,265900,0.00200708295625602
35026,"Loveland",2,0,40000,0,40000,29454.6,224900,6.03833782348663e-06
35026,"Loveland",3,0,0,0,0,29454.6,224900,0
35047,"Wellington",2,243200,0,1077277,1320477,2355,212600,0.00263740405414312
35047,"Wellington",3,5e+05,0,2773351.4,3273351.4,2355,212600,0.00653790278285428
36001,"Aguilar",2,0,0,1115404.8,1115404.8,290,108800,0.0353513184584179
36001,"Aguilar",3,0,0,19800,19800,290,108800,0.000627535496957404
36002,"Branson",2,0,0,194850.2,194850.2,45,NA,NA
36004,"Cokedale",1,0,0,162346.4,162346.4,94.6,102800,0.016693923215505
36005,"Kim",2,0,0,102267,102267,47,78800,0.0276128631601685
36010,"Starkville",2,0,0,146313,146313,35,62500,0.0668859428571429
36011,"Trinidad",2,0,0,15315.2,15315.2,4365.4,136500,2.57019442432005e-05
36011,"Trinidad",3,0,0,2491042.4,2491042.4,4365.4,136500,0.00418046338750054
37002,"Arriba",2,0,0,454500,454500,129,60000,0.0587209302325581
37002,"Arriba",3,0,3400,20641.4,24041.4,129,60000,0.00310612403100775
37004,"Genoa",2,0,0,143144,143144,84,49000,0.0347774538386783
37004,"Genoa",3,0,53068,137123.4,190191.4,84,49000,0.0462078231292517
37006,"Hugo",2,0,0,0,0,409.4,78000,0
37006,"Hugo",3,0,0,0,0,409.4,78000,0
37007,"Limon",1,117000,3111064,251643.6,3479707.6,966,119400,0.0301690266376742
38002,"Crook",2,0,0,4506.4,4506.4,76,56900,0.00104208676348164
38002,"Crook",3,0,0,0,0,76,56900,0
38005,"Fleming",2,0,0,0,0,204.4,84100,0
38005,"Fleming",3,0,0,0,0,204.4,84100,0
38007,"Iliff",2,0,0,902.4,902.4,128.2,80000,8.798751950078e-05
38007,"Iliff",3,0,0,8500,8500,128.2,80000,0.000828783151326053
38011,"Merino",2,0,0,43251.8,43251.8,120.8,111400,0.0032140457988039
38011,"Merino",3,0,0,0,0,120.8,111400,0
38016,"Peetz",2,0,0,0,0,106,86300,0
38016,"Peetz",3,0,0,0,0,106,86300,0
38019,"Sterling",2,0,0,23264068,23264068,5408.8,98500,0.0436665122526404
38019,"Sterling",3,0,0,663685.4,663685.4,5408.8,98500,0.00124573340530979
39011,"Collbran",2,0,0,0,0,223.2,144000,0
39011,"Collbran",3,0,0,0,0,223.2,144000,0
39012,"De Beque",2,0,0,274274,274274,224.2,137500,0.00889705619982159
39012,"De Beque",3,0,0,0,0,224.2,137500,0
39014,"Fruita",3,0,0,20907245.6,20907245.6,5204,200100,0.0200776299014213
39020,"Grand Junction",2,0,0,5563033.8,5563033.8,26862.2,205800,0.00100629369115972
39034,"Palisade",2,0,199000,5727370,5926370,1292.2,165700,0.0276781154874094
39034,"Palisade",3,0,0,0,0,1292.2,165700,0
40001,"Creede",1,0,0,1000756.6,1000756.6,272,167500,0.0219656848112379
41004,"Craig",2,0,0,4641029,4641029,4088.2,172500,0.00658101754856147
41004,"Craig",3,0,0,211731.2,211731.2,4088.2,172500,0.000300236594681476
41005,"Dinosaur",2,0,0,74014.8,74014.8,175,74300,0.00569235147087099
41005,"Dinosaur",3,0,0,0,0,175,74300,0
42004,"Cortez",2,0,0,4421136,4421136,3904,152400,0.00743086033303214
42008,"Dolores",2,0,0,85023.6,85023.6,501.6,166700,0.00101682534306536
42008,"Dolores",3,0,0,48875,48875,501.6,166700,0.000584512284146042
42016,"Mancos",2,63000,98200,1835.6,163035.6,615.8,186100,0.00142264449733936
42016,"Mancos",3,0,70590.6,698283.6,768874.2,615.8,186100,0.00670917670604583
43004,"Montrose",2,0,2288534.8,0,2288534.8,8715.2,177600,0.00147855403710117
43004,"Montrose",3,0,1983980,0,1983980,8715.2,177600,0.00128179026970793
43005,"Naturita",1,0,0,99959.8,99959.8,316,108100,0.00292625791871099
43007,"Nucla",2,0,105600,18750,124350,369.4,115500,0.00291451915707465
43007,"Nucla",3,0,0,0,0,369.4,115500,0
43012,"Olathe",2,0,0,1511.4,1511.4,634,96600,2.46781746576013e-05
43012,"Olathe",3,0,1433907.8,1511.4,1435419.2,634,96600,0.0234375583726839
44001,"Brush",2,0,0,74967.6,74967.6,2295,139100,0.000234835520596928
44001,"Brush",3,0,0,8982000,8982000,2295,139100,0.0281360567231925
44006,"Fort Morgan",2,0,5656400,15923700.6,21580100.6,4281.2,124300,0.0405524240427324
44006,"Fort Morgan",3,0,0,1966703,1966703,4281.2,124300,0.00369574616450647
44007,"Hillrose",2,0,0,784589.2,784589.2,124,81800,0.0773512500985882
44007,"Hillrose",3,0,0,61837.4,61837.4,124,81800,0.00609643899361148
44009,"Log Lane Village",2,0,0,1855617,1855617,344,71100,0.0758682906486115
44009,"Log Lane Village",3,0,0,61882.8,61882.8,344,71100,0.00253012461976254
