"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
44006,"Fort Morgan",3,607513,149369.8,1486245.8,0,2318816.88,4281.2,45403,0.011929339175867
44007,"Hillrose",2,31764.6,5391.2,57464.4,0,98335.78,124,33750,0.0234971995221027
44007,"Hillrose",3,4091.2,3250.2,27720.6,0,35796.14,124,33750,0.00855343847072879
44009,"Log Lane Village",2,47794,62996.2,175239.4,0,297108.62,344,35083,0.0246184148686603
44009,"Log Lane Village",3,15647.6,3127.8,144706.8,0,165359.74,344,35083,0.0137017050595631
44016,"Wiggins",2,106540,69572.6,137833.2,0,331557.06,344.6,48000,0.0200448019442832
44016,"Wiggins",3,7886,1783.2,119288.2,0,129924.32,344.6,48000,0.00785477848713484
45001,"Cheraw",2,6634.4,389.4,38583.8,0,46309.98,115,36429,0.0110542556276832
45001,"Cheraw",3,5360,357,30671.8,1000,37960.5,115,36429,0.00906122332064636
45004,"Fowler",2,2832.4,966,283556.4,484.4,288219.04,597,30850,0.0156492370007792
45004,"Fowler",3,32934.2,14428.8,100804,0,152903.3,597,30850,0.00830208850845258
45007,"La Junta",2,572417.2,213912.8,1629384.6,166320,2660667.6,3423.2,31113,0.0249813818977537
45007,"La Junta",3,19045.6,5586,965271.2,66920,1059285.96,3423.2,31113,0.00994578469918174
45009,"Manzanola",2,15302.2,5371.2,100999.4,0,123740.14,198,29844,0.0209405643352165
45009,"Manzanola",3,10643,1728.2,75603.2,0,89211.52,198,29844,0.0150972802681689
45014,"Rocky Ford",2,116299.6,65261.4,740542.6,418,940677.7,1869,27088,0.0185803806281301
45014,"Rocky Ford",3,28235.4,1007.2,360469.6,0,392636.46,1869,27088,0.00775540323245846
45015,"Swink",2,36615.6,12521.2,118143.2,5000,177193.68,286,36932,0.016775650429934
45015,"Swink",3,12074.4,835,31485.6,20000,65685.94,286,36932,0.00621875660351779
46007,"Ouray",1,139246.2,31295,528636.2,0,716231.52,799.8,66750,0.0134159292632147
46009,"Ridgway",2,46546.8,9777.6,268682.2,9323,339962.04,513.2,51442,0.0128773332204446
46009,"Ridgway",3,23405.8,9667.2,244442,0,280822.3,513.2,51442,0.0106371944727466
